cluster,cell_type
3,Epithelial
12,Epithelial
39,Epithelial
32,Epithelial
29,Apoptotic
14,Apoptotic
21,Epithelial
23,Epithelial
19,Epithelial
6,Epithelial
15,Epithelial
28,Epithelial
40,Epithelial
9,Epithelial
31,Epithelial
42,Epithelial
11,Epithelial
7,Epithelial
13,Epithelial
5,Epithelial
18,Epithelial
10,Apoptotic
37,Unclear
26,Unclear
30,Stromal
4,Stromal
33,Apoptotic
41,Endothelial
16,Apoptotic
24,Apoptotic
2,Apoptotic
34,Immune
36,Apoptotic
17,Immune
1,Immune
35,Immune
22,Immune
25,Immune
38,Immune
27,Apoptotic
20,Immune
8,Immune
